path,out_ages,out_genders,face_scores
./Dataset-copy/imdb_faces/imdb_crop/29/nm0001029_rm4059336192_1968-9-26_2009.jpg,40,1,1.7432077563457082
./Dataset-copy/imdb_faces/imdb_crop/93/nm0000693_rm346667776_1947-6-24_1987.jpg,40,1,1.2825758550928312
./Dataset-copy/imdb_faces/imdb_crop/16/nm0358316_rm2035594752_1971-3-10_2011.jpg,40,1,3.9932433337768107
./Dataset-copy/imdb_faces/imdb_crop/64/nm0001864_rm3386811648_1971-6-4_2011.jpg,40,1,2.027331886550019
./Dataset-copy/imdb_faces/imdb_crop/35/nm0344435_rm564918016_1973-10-6_2014.jpg,40,1,3.6214526020094646
./Dataset-copy/imdb_faces/imdb_crop/38/nm0004738_rm1484443136_1968-8-14_2009.jpg,40,0,3.657376307791915
./Dataset-copy/imdb_faces/imdb_crop/83/nm0652783_rm3901069568_1962-9-19_2003.jpg,40,0,1.723580415203111
./Dataset-copy/imdb_faces/imdb_crop/73/nm0005273_rm2499587840_1972-6-28_2012.jpg,40,1,2.5836624663858867
./Dataset-copy/imdb_faces/imdb_crop/88/nm0790688_rm735153664_1969-2-5_2009.jpg,40,1,3.0018184499051523
./Dataset-copy/imdb_faces/imdb_crop/02/nm0001002_rm2267919104_1966-7-31_2007.jpg,40,1,2.555282370903975
./Dataset-copy/imdb_faces/imdb_crop/12/nm0085312_rm3377628160_1969-8-28_2010.jpg,40,1,5.717184992477377
./Dataset-copy/imdb_faces/imdb_crop/37/nm0341737_rm4148726272_1968-12-18_2009.jpg,40,0,3.4054910577576463
./Dataset-copy/imdb_faces/imdb_crop/08/nm0915208_rm810847744_1968-9-28_2009.jpg,40,0,3.252661304269833
./Dataset-copy/imdb_faces/imdb_crop/36/nm0000236_rm1764923904_1958-9-16_1999.jpg,40,0,1.6247445216411518
./Dataset-copy/imdb_faces/imdb_crop/67/nm0000867_rm4265380096_1969-1-14_2009.jpg,40,1,4.797694870675787
./Dataset-copy/imdb_faces/imdb_crop/06/nm0005306_rm1833535744_1969-3-27_2009.jpg,40,0,2.8898727399012616
./Dataset-copy/imdb_faces/imdb_crop/88/nm0790688_rm3146418944_1969-2-5_2009.jpg,40,1,2.9946240641909183
./Dataset-copy/imdb_faces/imdb_crop/31/nm0190931_rm2603456512_1965-3-18_2005.jpg,40,1,5.2925438137165735
./Dataset-copy/imdb_faces/imdb_crop/14/nm0001014_rm2803273216_1970-3-27_2010.jpg,40,0,3.915912806711943
./Dataset-copy/imdb_faces/imdb_crop/16/nm0908116_rm596877824_1966-5-19_2006.jpg,40,0,1.2044880823567987
./Dataset-copy/imdb_faces/imdb_crop/82/nm0003082_rm398308608_1972-5-1_2012.jpg,40,1,2.3978947555865333
./Dataset-copy/imdb_faces/imdb_crop/49/nm0241049_rm3700990464_1972-11-14_2013.jpg,40,1,1.6156511391613853
./Dataset-copy/imdb_faces/imdb_crop/58/nm0005458_rm3653545984_1967-7-26_2008.jpg,40,1,1.4690814063812283
./Dataset-copy/imdb_faces/imdb_crop/33/nm0001733_rm1657706496_1963-11-21_2004.jpg,40,0,3.6118009719807835
./Dataset-copy/imdb_faces/imdb_crop/22/nm0001722_rm2471400448_1967-10-29_2008.jpg,40,1,4.148285691824151
./Dataset-copy/imdb_faces/imdb_crop/56/nm1432956_rm3418734592_1973-12-24_2014.jpg,40,1,1.6062974521294486
./Dataset-copy/imdb_faces/imdb_crop/47/nm0001447_rm2939981312_1956-2-3_1996.jpg,40,1,1.732889157196028
./Dataset-copy/imdb_faces/imdb_crop/30/nm0124930_rm650939392_1969-11-13_2010.jpg,40,1,3.9799605021735736
./Dataset-copy/imdb_faces/imdb_crop/07/nm0005107_rm63800064_1964-5-26_2004.jpg,40,1,3.1453995174547287
./Dataset-copy/imdb_faces/imdb_crop/90/nm0931090_rm3055669760_1971-9-14_2012.jpg,40,0,2.517767036707076
./Dataset-copy/imdb_faces/imdb_crop/73/nm0416673_rm2022935552_1965-4-26_2005.jpg,40,1,3.7458040753805246
./Dataset-copy/imdb_faces/imdb_crop/39/nm0117339_rm990878208_1965-5-3_2005.jpg,40,1,4.14469502871731
./Dataset-copy/imdb_faces/imdb_crop/23/nm0012523_rm1890034176_1965-11-26_2006.jpg,40,1,2.5744050615040184
./Dataset-copy/imdb_faces/imdb_crop/57/nm0004757_rm2363809280_1972-6-23_2012.jpg,40,0,2.189955519245704
./Dataset-copy/imdb_faces/imdb_crop/28/nm0005128_rm2881132288_1968-3-29_2008.jpg,40,0,5.218621186997812
./Dataset-copy/imdb_faces/imdb_crop/25/nm0147825_rm718182400_1964-4-24_2004.jpg,40,1,2.6821867675497733
./Dataset-copy/imdb_faces/imdb_crop/35/nm0564635_rm1302628096_1967-10-16_2008.jpg,40,0,2.825271201537602
./Dataset-copy/imdb_faces/imdb_crop/73/nm1570873_rm2170729216_1963-10-30_2004.jpg,40,1,1.762831208053855
./Dataset-copy/imdb_faces/imdb_crop/81/nm0000181_rm1490257920_1961-9-25_2002.jpg,40,0,5.395173832944693
./Dataset-copy/imdb_faces/imdb_crop/50/nm0000250_rm4225730816_1969-4-25_2009.jpg,40,0,2.0630816753050505
./Dataset-copy/imdb_faces/imdb_crop/41/nm0000141_rm1369479424_1960-8-7_2001.jpg,40,1,1.127051363930667
